"","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q76","Q77","Q78","Q79","Q80","Q81","Q82"
"1",3,4,2,5,2,3,3,5,3,3,3,2,3,2
"2",2,4,3,2,2,3,4,3,4,3,3,2,2,3
"3",4,5,2,4,2,5,5,5,4,5,3,5,3,4
"4",2,5,3,5,3,2,4,3,4,4,4,5,2,4
"5",4,4,2,2,1,4,3,3,5,4,2,4,2,4
"6",5,4,5,3,1,5,3,5,5,5,3,5,4,3
"7",2,3,2,2,3,1,4,1,4,1,2,3,1,2
"8",2,2,2,1,1,3,3,3,3,2,3,3,4,2
"9",2,4,4,4,4,2,4,5,4,NA,3,5,4,3
"10",1,1,1,1,1,1,1,1,2,1,1,1,1,1
"11",3,3,3,3,3,2,3,4,4,3,3,3,2,3
"12",2,4,4,2,4,3,5,5,4,4,3,4,1,5
"13",1,2,2,4,1,1,3,2,3,2,1,2,2,1
"14",2,2,2,2,2,1,2,3,2,1,1,2,2,1
"15",3,3,2,5,1,4,3,3,4,3,1,3,3,4
"16",2,4,3,2,2,3,5,5,4,4,2,3,1,1
"17",1,2,2,2,1,1,2,5,3,1,2,1,1,1
"18",3,3,4,3,3,3,2,1,2,3,4,4,3,2
"19",1,2,1,1,1,2,1,1,1,1,1,1,1,2
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1,5,1,3,1,3,4,3,2,5,2,5,1,5
"22",3,4,3,4,1,5,4,3,4,5,3,5,1,1
"23",4,4,1,4,1,3,4,4,4,3,1,4,1,4
"24",4,4,3,4,4,5,3,4,5,5,3,3,3,3
"25",5,4,2,5,2,5,5,2,5,5,4,4,3,1
"26",2,3,2,5,1,2,4,5,5,3,5,5,2,3
"27",4,5,4,5,4,5,5,3,5,5,1,5,3,2
"28",2,3,3,3,1,3,3,4,3,2,1,4,2,4
"29",2,3,2,2,1,2,2,1,2,2,2,1,2,1
"30",4,4,3,4,2,3,3,4,5,3,4,3,4,4
"31",3,5,4,3,2,5,4,5,4,5,4,5,4,5
"32",2,2,3,2,2,2,3,4,3,2,2,3,2,3
"33",1,4,3,5,3,3,3,4,4,2,3,4,3,3
"34",3,3,1,3,1,2,3,3,3,3,2,3,3,1
"35",1,4,1,3,1,1,4,2,3,5,1,2,1,2
"36",1,3,1,5,2,3,4,4,4,3,1,4,1,4
"37",2,4,3,2,2,3,3,3,3,4,3,3,2,4
"38",1,3,1,4,1,1,1,1,1,2,1,2,1,3
"39",3,3,1,4,1,5,4,5,5,4,3,2,1,3
"40",3,3,1,3,1,1,5,3,4,2,1,4,1,1
"41",3,4,3,4,1,4,3,5,3,4,2,4,1,4
"42",3,3,3,1,1,2,1,3,1,3,3,2,1,1
"43",1,3,1,1,1,2,1,3,1,3,1,2,1,3
"44",1,3,2,3,1,2,2,2,2,3,2,3,1,1
"45",1,3,1,5,1,4,3,2,3,3,3,4,3,2
