"EQ66 - Others treated as less than due to their sexual orientation","IQ68 - Anxiety attacks triggered by religious stimuli","IQ69 - Lack of spiritual direction/purpose","IQ70 - Feeling betrayed by God","IQ71 - Avoiding religious activities/settings to reduce distressing feelings","IQ72 - Feeling as if God harmed me directly","IQ73 - Self-hatred or self-loathing","IQ74 - Sadness over the loss of my faith/religious community","IQ76 - Feeling I wasted years of my life in a church/set of beliefs","IQ77 - Anger upon reflecting on negative religious experiences","IQ78 - A lack of self-worth","IQ79 - Distrust of God","IQ80 - Feeling isolated","IQ81 - Nightmares about my negative religious experiences","IQ82 - Having trouble navigating life outside my church/community"
3,3,4,2,5,2,3,3,5,3,3,3,2,3,2
4,2,4,3,2,2,3,4,3,4,3,3,2,2,3
4,4,5,2,4,2,5,5,5,4,5,3,5,3,4
4,2,5,3,5,3,2,4,3,4,4,4,5,2,4
4,4,4,2,2,1,4,3,3,5,4,2,4,2,4
4,5,4,5,3,1,5,3,5,5,5,3,5,4,3
3,2,3,2,2,3,1,4,1,4,1,2,3,1,2
3,2,2,2,1,1,3,3,3,3,2,3,3,4,2
4,1,1,1,1,1,1,1,1,2,1,1,1,1,1
4,3,3,3,3,3,2,3,4,4,3,3,3,2,3
5,2,4,4,2,4,3,5,5,4,4,3,4,1,5
5,1,2,2,4,1,1,3,2,3,2,1,2,2,1
1,2,2,2,2,2,1,2,3,2,1,1,2,2,1
1,3,3,2,5,1,4,3,3,4,3,1,3,3,4
5,2,4,3,2,2,3,5,5,4,4,2,3,1,1
2,1,2,2,2,1,1,2,5,3,1,2,1,1,1
2,3,3,4,3,3,3,2,1,2,3,4,4,3,2
3,1,2,1,1,1,2,1,1,1,1,1,1,1,2
4,1,5,1,3,1,3,4,3,2,5,2,5,1,5
3,3,4,3,4,1,5,4,3,4,5,3,5,1,1
4,4,4,1,4,1,3,4,4,4,3,1,4,1,4
3,4,4,3,4,4,5,3,4,5,5,3,3,3,3
2,5,4,2,5,2,5,5,2,5,5,4,4,3,1
4,2,3,2,5,1,2,4,5,5,3,5,5,2,3
1,4,5,4,5,4,5,5,3,5,5,1,5,3,2
4,2,3,3,3,1,3,3,4,3,2,1,4,2,4
2,2,3,2,2,1,2,2,1,2,2,2,1,2,1
4,4,4,3,4,2,3,3,4,5,3,4,3,4,4
5,3,5,4,3,2,5,4,5,4,5,4,5,4,5
4,2,2,3,2,2,2,3,4,3,2,2,3,2,3
5,1,4,3,5,3,3,3,4,4,2,3,4,3,3
4,3,3,1,3,1,2,3,3,3,3,2,3,3,1
4,1,4,1,3,1,1,4,2,3,5,1,2,1,2
5,1,3,1,5,2,3,4,4,4,3,1,4,1,4
1,2,4,3,2,2,3,3,3,3,4,3,3,2,4
4,1,3,1,4,1,1,1,1,1,2,1,2,1,3
5,3,3,1,4,1,5,4,5,5,4,3,2,1,3
3,3,3,1,3,1,1,5,3,4,2,1,4,1,1
2,3,4,3,4,1,4,3,5,3,4,2,4,1,4
2,3,3,3,1,1,2,1,3,1,3,3,2,1,1
4,1,3,1,1,1,2,1,3,1,3,1,2,1,3
4,1,3,2,3,1,2,2,2,2,3,2,3,1,1
1,1,3,1,5,1,4,3,2,3,3,3,4,3,2
4,2,3,2,3,1,1,4,4,3,3,2,3,1,1
2,1,1,1,1,1,1,3,1,1,1,1,2,1,1
3,3,4,3,4,2,3,3,3,4,2,3,4,3,3
4,2,5,4,5,2,4,5,3,4,5,4,5,3,5
5,5,5,5,5,4,5,4,5,4,5,4,5,3,3
4,3,2,2,4,3,5,4,2,4,5,3,4,2,2
4,2,3,2,5,2,3,4,5,5,3,2,4,2,3
